Layer,Name,GEOID,Population,Longitude,Latitude,UMP_2018-2022,EDX_2018-2022,HDX_2018-2022,INC_2018-2022,PCI_2018-2022,POV_2018-2022
,,,,,,"Unemployment rate (%), 2018-2022","Economic Diversity Index, 2018-2022","Hardship Index (score), 2018-2022","Median household income, 2018-2022","Per capita income, 2018-2022","Poverty rate (% of residents), 2018-2022"
Census tract,Tract 101,17031010100,4905,-87.66983010,42.02125530,9.76915356306457,0.7438473672398844,54.14432214,62530.52339226691,40658.2272898689,19.4836241931628
Census tract,Tract 102.01,17031010201,6939,-87.68014840,42.01600770,4.088541666666667,0.8140929552867795,88.72659705,55997.44257858426,25133.793429312984,33.609756097560975
Census tract,Tract 102.02,17031010202,2742,-87.67332560,42.01604760,8.914209115281501,0.7945842196903041,80.4179603,53821.58282126932,29733.999245768537,23.75195007800312
Census tract,Tract 103,17031010300,6305,-87.66653930,42.01594310,4.030655691172296,0.7098468817157142,42.45225327,62658.89269948313,39272.75569555668,6.455244886470258
Census tract,Tract 104,17031010400,5079,-87.65881570,42.00641090,3.2,0.4597031861208158,18.88230313,44589.99578517713,28069.782870072537,18.58638743455497
Census tract,Tract 105.01,17031010501,4206,-87.66395830,42.00941190,7.511569953720184,0.7186591600120285,20.1183084,43882.13074824197,38336.57667650125,10.784564272936366
Census tract,Tract 105.02,17031010502,3278,-87.66332730,42.00451730,4.497955474784189,0.7683397159444048,59.22476244,51176.25816899221,33295.33059739568,26.90447400241837
Census tract,Tract 105.03,17031010503,2565,-87.66312620,42.00032070,3.853046594982079,0.7777551020408163,84.44232759,17192.317930743804,20880.184742341222,51.92387256930079
Census tract,Tract 106,17031010600,6225,-87.66768300,42.00627740,2.547931382441978,0.5943537145337723,24.5648697,60803.956210208744,38540.133720801256,14.68273092369478
Census tract,Tract 107.01,17031010701,3673,-87.67862040,42.00914820,3.3030553261767133,0.7815221307725629,46.74593094,64681.62621176157,47704.785332416424,7.520891364902507
Census tract,Tract 107.02,17031010702,4776,-87.67272570,42.00901990,9.497859089139745,0.7967654210933137,87.42003011,47856.99465382994,24782.611681714323,19.68901846452867
Census tract,Tract 201,17031020100,4202,-87.68711690,42.01572100,9.427748044462742,0.8125408464006678,68.86936683,52291.23729452738,31547.674172009138,18.71657754010695
Census tract,Tract 202,17031020200,7128,-87.69951910,42.01569030,4.605659241420831,0.7171447991785106,63.66191551,107284.6485059562,36446.79708955389,6.945409084595084
Census tract,Tract 203.01,17031020301,5261,-87.70518650,42.00686510,8.520559559135227,0.7480796851426221,65.01787562,67429.64630981167,33601.583087468665,11.235955056179774
Census tract,Tract 203.02,17031020302,5010,-87.69496340,42.00854060,10.540970564836911,0.7138814319492093,45.76394769,77209.5536724417,44052.678542114954,6.1902783547985045
